epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
151,4797.42,1.68555,0.75183,0.8384,0.7891,0.68035,0.76671,0.33401,2.23331,0.95794,0.93974,0.001703,0.001703,0.001703
152,4828.7,1.54164,0.76672,0.82273,0.89116,0.77273,0.75657,0.31574,2.41495,0.96793,0.96848,0.00170102,0.00170102,0.00170102
153,4860.45,1.63579,0.76786,0.84831,0.89083,0.74236,0.7553,0.31057,2.38526,0.98174,0.95966,0.00169904,0.00169904,0.00169904
154,4892.22,1.50125,0.79026,0.85929,0.83821,0.77273,0.80193,0.37187,2.12278,0.86363,0.93409,0.00169706,0.00169706,0.00169706
155,4923.02,1.55686,0.75136,0.84171,0.92678,0.72727,0.85583,0.38052,2.0482,0.87741,0.92157,0.00169508,0.00169508,0.00169508
156,4954.57,1.63752,0.75269,0.82949,0.83465,0.68865,0.7625,0.33081,2.30142,1.0245,0.95085,0.0016931,0.0016931,0.0016931
157,4985.85,1.68421,0.75859,0.82971,0.80912,0.77079,0.7598,0.33,2.27656,1.03724,0.95238,0.00169112,0.00169112,0.00169112
158,5017.03,1.65205,0.72209,0.84686,0.84761,0.75898,0.79999,0.34317,1.92237,0.98595,0.912,0.00168914,0.00168914,0.00168914
159,5048.06,1.70842,0.74489,0.83867,0.88517,0.77273,0.83368,0.37266,1.99058,0.89489,0.92261,0.00168716,0.00168716,0.00168716
160,5078.76,1.70666,0.83024,0.85053,0.93627,0.77273,0.83595,0.40396,2.10776,0.88879,0.9433,0.00168518,0.00168518,0.00168518
161,5109.45,1.6623,0.78107,0.83566,0.84948,0.76973,0.8176,0.35163,2.29245,0.94851,0.96737,0.0016832,0.0016832,0.0016832
162,5140.73,1.67584,0.79583,0.84053,0.89309,0.75992,0.82078,0.3958,2.20512,0.95013,0.95069,0.00168122,0.00168122,0.00168122
163,5171.93,1.53741,0.71734,0.8409,0.82356,0.77273,0.81048,0.39637,2.29275,1.03033,0.95155,0.00167924,0.00167924,0.00167924
164,5203.51,1.49779,0.72392,0.82054,0.81209,0.78621,0.7921,0.36451,2.3292,1.09963,0.96296,0.00167726,0.00167726,0.00167726
165,5235.67,1.67938,0.76415,0.82476,0.84105,0.7218,0.73484,0.2919,2.46796,1.15383,0.98008,0.00167528,0.00167528,0.00167528
166,5267.19,1.68909,0.89903,0.85302,0.84487,0.77273,0.78781,0.37253,2.11244,0.99265,0.93626,0.0016733,0.0016733,0.0016733
167,5298.68,1.70217,0.80149,0.8239,0.75997,0.77273,0.75985,0.37166,2.00072,0.9402,0.91929,0.00167132,0.00167132,0.00167132
168,5330.43,1.63636,0.73655,0.86281,0.87909,0.72727,0.78726,0.37768,2.16729,0.9125,0.93929,0.00166934,0.00166934,0.00166934
169,5362.41,1.50957,0.76386,0.81877,0.94597,0.7965,0.85851,0.37958,2.31557,0.96514,0.96436,0.00166736,0.00166736,0.00166736
170,5393.57,1.68526,0.78029,0.84619,0.8978,0.77273,0.86881,0.38909,2.33994,0.95403,0.96703,0.00166538,0.00166538,0.00166538
171,5424.39,1.56448,0.74884,0.8327,0.90136,0.83114,0.87159,0.39852,2.12991,0.89152,0.94024,0.0016634,0.0016634,0.0016634
172,5456.32,1.54141,0.72112,0.83661,0.90295,0.84633,0.86846,0.38226,1.87616,0.90925,0.90524,0.00166142,0.00166142,0.00166142
173,5487.93,1.55327,0.74281,0.82829,0.89465,0.86364,0.86163,0.391,1.93132,0.90058,0.90879,0.00165944,0.00165944,0.00165944
174,5519.43,1.58501,0.71403,0.82451,0.88426,0.77273,0.83258,0.37833,2.15842,0.91763,0.93221,0.00165746,0.00165746,0.00165746
175,5551.16,1.55211,0.73271,0.83775,0.85184,0.81818,0.82998,0.3901,2.15133,0.97421,0.92804,0.00165548,0.00165548,0.00165548
176,5582.71,1.56472,0.7312,0.79831,0.85513,0.81818,0.83079,0.39071,2.14488,0.99485,0.92921,0.0016535,0.0016535,0.0016535
177,5615.08,1.52065,0.67764,0.83877,0.89306,0.77273,0.84123,0.39495,2.21827,1.03322,0.93803,0.00165152,0.00165152,0.00165152
178,5646.56,1.52771,0.72883,0.82416,0.94115,0.77273,0.83973,0.40767,2.22847,1.0575,0.93949,0.00164954,0.00164954,0.00164954
179,5678,1.58671,0.74045,0.83489,0.84615,0.75056,0.74407,0.40794,2.04718,0.95793,0.90824,0.00164756,0.00164756,0.00164756
180,5709.86,1.60142,0.70702,0.8586,0.84818,0.76223,0.74334,0.42687,1.96127,0.90359,0.89935,0.00164558,0.00164558,0.00164558
181,5743.53,1.51858,0.7252,0.83097,0.84865,0.76495,0.76295,0.40462,1.85531,0.88049,0.89942,0.0016436,0.0016436,0.0016436
